NFailed   FailureType     Flight   Temperature
   0       0        1          66
   1       2        2          70
   0       0        3          69
   0       0        4          80
   0       0        5          68
   0       0        6          67
   0       0        7          72
   0       0        8          73
   0       0        9          70
   1       2       10          57
   1       1       11          63
   0       0       12          78
   1       2       13          70
   0       0       14          67
   3       3       15          53
   0       0       16          75
   0       0       17          67
   0       0       18          70
   0       0       19          81
   0       0       20          76
   0       0       21          79
   2       3       22          75
   0       0       23          76
   1       2       24          58
